release_tag,release_date,refactoring_type,description,left_files,right_files
androidx-test-1.2.1-alpha01,2019-06-14-22,Replace Anonymous With Lambda,"Replace Anonymous With Lambda androidx.test.ext.truth.content.IntentCorrespondences.data.new Correspondence<Intent,Intent> with (actual, expected) -> Objects.equal(actual.getData(),expected.getData()) in method public data() : Correspondence<Intent,Intent> from class androidx.test.ext.truth.content.IntentCorrespondences",ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L33-L43;ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L32-L44,ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L26;ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L24-L28
androidx-test-1.2.1-alpha01,2019-06-14-22,Replace Anonymous With Lambda,"Replace Anonymous With Lambda androidx.test.ext.truth.content.IntentCorrespondences.all.new Correspondence<Intent,Intent> with (actual, expected) -> {for(Correspondence<Intent,Intent> innerCorrespondence: correspondences){if(!innerCorrespondence.compare(actual,expected)){return false; in method public all(correspondences Correspondence<Intent,Intent>...) : Correspondence<Intent,Intent> from class androidx.test.ext.truth.content.IntentCorrespondences",ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L49-L71;ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L46-L72,ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L41-L48;ext/truth/java/androidx/test/ext/truth/content/IntentCorrespondences.java#L30-L50
androidx-test-1.2.1-alpha01,2019-06-14-22,Extract Method,"Extract Method public TypeTextAction(stringToBeTyped String, tapToFocus boolean, clickAction GeneralClickAction) extracted from public TypeTextAction(stringToBeTyped String, tapToFocus boolean) in class androidx.test.espresso.action.TypeTextAction",espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L62-L74;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L71;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L72;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L73,espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L80-L96;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L92;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L93;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L94;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L68-L78;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L77;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L95
androidx-test-1.2.1-alpha01,2019-06-14-22,Extract Method,"Extract Method private defaultClickAction() : GeneralClickAction extracted from public perform(uiController UiController, view View) : void in class androidx.test.espresso.action.TypeTextAction",espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L93-L125;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L103-L104,espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L158-L165;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L159-L164;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L115-L151;espresso/core/java/androidx/test/espresso/action/TypeTextAction.java#L127
androidx-test-1.3.0-alpha03,2019-12-03-18,Move Class,Move Class androidx.test.services.events.discovery.Annotation moved to androidx.test.services.events.Annotation,services/events/java/androidx/test/services/events/discovery/Annotation.java#L23-L85,services/events/java/androidx/test/services/events/Annotation.java#L23-L85
androidx-test-1.3.0-alpha03,2019-12-03-18,Move Class,Move Class androidx.test.services.events.discovery.AnnotationToParcelableParser moved to androidx.test.services.events.AnnotationToParcelableParser,services/events/java/androidx/test/services/events/discovery/AnnotationToParcelableParser.java#L24-L90,services/events/java/androidx/test/services/events/AnnotationToParcelableParser.java#L24-L90
androidx-test-1.3.0-alpha03,2019-12-03-18,Move Class,Move Class androidx.test.services.events.discovery.AnnotationValue moved to androidx.test.services.events.AnnotationValue,services/events/java/androidx/test/services/events/discovery/AnnotationValue.java#L23-L93,services/events/java/androidx/test/services/events/AnnotationValue.java#L23-L93
androidx-test-1.3.0-alpha03,2019-12-03-18,Change Variable Type,Change Variable Type testCase : TestCase to testCase : androidx.test.services.events.TestCase in method public testCaseToParcelableTest_basicClassNameAndMethodNameGiven() : void from class androidx.test.services.events.discovery.TestCaseParcelableTest,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L44;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L46,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L45-L47;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L49
androidx-test-1.3.0-alpha03,2019-12-03-18,Change Variable Type,Change Variable Type testCaseFromParcel : TestCase to testCaseFromParcel : androidx.test.services.events.TestCase in method public testCaseToParcelableTest_basicClassNameAndMethodNameGiven() : void from class androidx.test.services.events.discovery.TestCaseParcelableTest,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L50;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L52;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L53;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L54;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L55,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L53-L54;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L56;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L57;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L58;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L59
androidx-test-1.3.0-alpha03,2019-12-03-18,Change Variable Type,Change Variable Type testCase : TestCase to testCase : androidx.test.services.events.TestCase in method public testCaseToParcelableTest_withMethodAnnotations() : void from class androidx.test.services.events.discovery.TestCaseParcelableTest,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L75;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L77,services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L79-L81;services/events/javatests/androidx/test/services/events/discovery/TestCaseParcelableTest.java#L83
