file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Emanuel\Desktop\android_test\android-test\services\speakeasy\javatests\androidx\test\services\speakeasy\client\Reverser.java,androidx.test.services.speakeasy.client.Reverser$Register$Anonymous2,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,2,0,1,0,0,0,5,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\intents\java\androidx\test\espresso\intent\VerificationModes.java,androidx.test.espresso.intent.VerificationModes$NoUnverifiedIntents,innerclass,7,7,0,7,5,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,13,0,1,0,0,0,1,0,1,0,1,2,0,0,0,22,26,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\core\javatests\androidx\test\espresso\remote\EspressoRemoteTest.java,androidx.test.espresso.remote.EspressoRemoteTest$BindableViewAction,innerclass,6,6,0,6,7,1,0,3,9,0.42857143,0.0,0.0,7,0,6,0,0,1,7,0,0,0,1,0,0,1,0,0,1,0,0,23,4,0,0,0,0,1,0,1,0,1,0,0,0,0,18,26,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\web\java\androidx\test\espresso\web\matcher\DomMatchers.java,androidx.test.espresso.web.matcher.DomMatchers,class,13,20,7,13,11,13,0,9,45,0.0,0.0,0.0,10,9,8,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,135,10,0,0,1,0,0,0,2,0,2,1,0,6,0,74,17,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\web\java\androidx\test\espresso\web\assertion\TagSoupDocumentParser.java,androidx.test.espresso.web.assertion.TagSoupDocumentParser,class,6,12,6,6,4,1,0,6,1,0.5,0.0,0.0,3,1,2,1,0,0,2,0,0,0,2,1,0,2,0,0,2,0,1,28,2,0,0,1,0,0,0,4,0,4,1,1,0,0,40,17,0
C:\Users\Emanuel\Desktop\android_test\android-test\testapps\ui_testapp\javatests\androidx\test\ui\app\provider\FlightsContentProviderByRuleTest.java,androidx.test.ui.app.provider.FlightsContentProviderByRuleTest$VerifySuccessfulUseOfWithDBCmdsFromFileBuilderTest,innerclass,8,8,0,8,2,1,0,4,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,2,11,0,0,0,0,0,2,2,2,0,2,0,0,0,0,28,9,0
C:\Users\Emanuel\Desktop\android_test\android-test\testapps\ui_testapp\javatests\androidx\test\ui\app\provider\SimpleFileContentProviderTest.java,androidx.test.ui.app.provider.SimpleFileContentProviderTest$TestSimpleFileContentProvider,innerclass,1,1,0,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\android_junit_runner\javatests\androidx\test\internal\runner\AppLifecycleListener.java,androidx.test.internal.runner.AppLifecycleListener,class,5,6,1,5,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,28,1,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\rules\java\androidx\test\rule\GrantPermissionRule.java,androidx.test.rule.GrantPermissionRule$RequestPermissionStatement,innerclass,2,2,0,2,2,2,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,2,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\rules\javatests\androidx\test\rule\ActivityTestRuleTest.java,androidx.test.rule.ActivityTestRuleTest$SuccessfulLaunchTest,innerclass,6,6,0,6,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,16,0,0,0,0,0,0,0,2,0,2,0,1,0,0,14,9,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\core\java\androidx\test\espresso\remote\RemoteMessageDeserializer.java,androidx.test.espresso.remote.RemoteMessageDeserializer$Anonymous1,anonymous,4,4,0,4,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\contrib\javatests\androidx\test\espresso\contrib\RecyclerViewIntegrationTest.java,androidx.test.espresso.contrib.RecyclerViewIntegrationTest,class,19,23,4,19,36,3,3,28,0,0.8037135,0.0,0.0,29,0,25,2,2,0,27,2,0,0,13,10,0,12,1,0,10,0,371,264,1,0,0,7,8,39,18,37,19,37,1,2,1,0,122,1025,0
C:\Users\Emanuel\Desktop\android_test\android-test\testapps\ui_testapp\java\androidx\test\ui\app\SlidingTabStrip.java,androidx.test.ui.app.SlidingTabStrip$SimpleTabColorizer,innerclass,2,2,0,2,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,1,1,0,0,0,0,11,10,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\monitor\java\androidx\test\internal\runner\InstrumentationConnection.java,androidx.test.internal.runner.InstrumentationConnection$IncomingHandler$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\tools\device_broker\java\com\google\android\apps\common\testing\broker\shell\SimpleKillableObserver.java,com.google.android.apps.common.testing.broker.shell.SimpleKillableObserver,class,2,3,1,2,5,1,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,0,17,0,0,1,0,0,2,0,2,1,1,1,0,0,0,64,17,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\monitor\java\androidx\test\internal\runner\InstrumentationConnection.java,androidx.test.internal.runner.InstrumentationConnection$IncomingHandler$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\tools\device_broker\java\com\google\android\apps\common\testing\suite\filter\SizeFilter.java,com.google.android.apps.common.testing.suite.filter.SizeFilter,class,14,15,1,14,7,2,0,18,1,0.71428573,0.0,0.0,3,0,3,0,0,0,3,0,0,0,7,6,0,7,0,0,6,0,45,30,1,1,3,0,0,20,1,11,1,10,2,0,0,0,102,0,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\monitor\java\androidx\test\internal\runner\InstrumentationConnection.java,androidx.test.internal.runner.InstrumentationConnection$IncomingHandler$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\android_junit_runner\java\androidx\test\internal\runner\ClassPathScanner.java,androidx.test.internal.runner.ClassPathScanner$InclusivePackageNamesFilter,innerclass,1,1,0,1,6,1,0,5,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,22,2,2,0,0,0,2,0,1,0,1,2,0,0,0,20,9,0
C:\Users\Emanuel\Desktop\android_test\android-test\core\javatests\androidx\test\core\app\testing\RecreationRecordingActivity.java,androidx.test.core.app.testing.RecreationRecordingActivity,class,3,8,5,3,4,2,0,5,0,0.16666667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,2,1,0,2,0,0,1,0,0,21,1,0,1,0,0,1,4,4,1,2,1,0,0,0,55,1,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\android_junit_runner\javatests\androidx\test\JUnit4CategoryTest.java,androidx.test.JUnit4CategoryTest$SlowTestSuite,innerclass,7,7,0,7,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0
C:\Users\Emanuel\Desktop\android_test\android-test\testapps\ui_testapp\java\androidx\test\ui\app\LongListActivity.java,androidx.test.ui.app.LongListActivity$Anonymous1$Anonymous2,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,9,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\runner\monitor\javatests\androidx\test\runner\intent\IntentStubberRegistryTest.java,androidx.test.runner.intent.IntentStubberRegistryTest$Anonymous1,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\testapps\ui_testapp\java\androidx\test\ui\app\LongListActivity.java,androidx.test.ui.app.LongListActivity$Anonymous1$Anonymous3,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,9,-1,0
C:\Users\Emanuel\Desktop\android_test\android-test\espresso\core\java\androidx\test\espresso\action\ViewActions.java,androidx.test.espresso.action.ViewActions$Anonymous1,anonymous,5,5,0,5,5,1,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,2,2,0,0,0,5,0,1,1,1,1,0,0,0,17,-1,0
